Id,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality
6194,1,3591,0,6,6,0,6,6,8,0.252711,0.267576,0,0,0.000983,0.000056,9,178,0.033333,0
255,1,3590,1,5,6,1,5,6,10,0.230374,0.250978,256.854553,0.000033,0.002279,0.000063,4,202,0.066667,0.000757
980,1,3587,2,16,18,2,16,18,9,0.258422,0.283758,293.360047,0.000505,0.007439,0.000066,9,43,0.03268,0.001701
2992,1,2202,3,1,4,3,1,4,8,0.252373,0.267535,782.729024,0.006061,0.000927,0.000073,9,178,0,0.018648
2507,1,3229,8,14,22,8,14,22,8,0.288314,0.32093,9216.834053,0.020739,0.013397,0.000094,4,148,0.036797,0.026817
986,1,3585,3,23,26,3,23,26,7,0.315266,0.344592,4685.199084,0.000601,0.021618,0.000075,1,206,0.053846,0.002383
4003,1,486,5,5,10,5,5,10,8,0.216458,0.240956,3065.303663,0.000956,0.001284,0.000112,9,178,0,0.008809
0,1,3597,0,1,1,0,1,1,10,0.164059,0.169264,0,0,0,0.000056,3,131,0,0
82,1,3596,1,2,3,1,2,3,9,0.1962,0.205229,3459,0,0.000839,0.000103,3,131,0,0.000757
15,1,3685,0,5,5,0,5,5,10,0.267696,0.289024,0,0,0.005209,0.000056,4,205,0.05,0
343,1,3684,1,21,22,1,21,22,9,0.2883,0.313993,653.689367,0.000177,0.016178,0.000065,7,147,0.017316,0.000757
4282,1,2030,17,15,32,17,15,32,8,0.290708,0.322157,8030.960982,0.008652,0.013934,0.000203,10,228,0.019153,0.029804
5442,1,1637,8,0,8,8,0,8,0,0,0,0,0.001616,0,0.000198,4,205,0,0.011989
1162,1,3600,1,12,13,1,12,13,6,0.332185,0.361211,2096.012436,0.000177,0.034372,0.000065,2,205,0.076923,0.000757
3401,1,2008,208,257,465,208,257,465,8,0.365498,0.459595,585405.0706,0.142526,0.165938,0.003009,3,1,0.003865,0.348257
7106,1,3691,0,4,4,0,4,4,8,0.22891,0.238119,0,0,0.000826,0.000056,14,122,0,0
6211,1,3690,2,8,10,2,8,10,7,0.292973,0.311373,2972.105001,0.001264,0.008907,0.000069,14,209,0.022222,0.001701
6611,1,532,42,1,43,42,1,43,2,0.666667,0.75,2626.340991,0.008394,0.000022,0.001323,14,201,0.035437,0.103265
1348,1,3688,2,2,4,2,2,4,9,0.178619,0.186601,1005.568987,0.000028,0.000015,0.000091,14,45,0,0.001514
2239,1,3029,5,5,10,5,5,10,9,0.22452,0.243714,2628.514553,0.014599,0.002507,0.000077,7,122,0.033333,0.016269
2,1,3692,0,1,1,0,1,1,6,0.300532,0.336947,0,0,0.007372,0.000056,2,3,0,0
5842,1,290,278,58,336,278,58,336,5,0.427757,0.547556,214681.7387,0.21673,0.043297,0.006036,2,3,0.008298,0.879791
3,1,3782,0,7,7,0,7,7,8,0.240134,0.253873,0,0,0.002108,0.000056,9,47,0,0
3363,1,2274,11,7,18,11,7,18,10,0.167593,0.19496,2572.043802,0.002593,0.001076,0.000225,14,34,0.04902,0.013016
1277,1,3781,3,12,15,3,12,15,7,0.304626,0.329511,5932.218377,0.004896,0.011866,0.000065,14,42,0.042857,0.004514
3739,1,1874,33,27,60,33,27,60,7,0.308706,0.341877,50159.07629,0.036708,0.027642,0.000352,9,144,0.035028,0.092895
6882,1,441,6,0,6,6,0,6,0,0,0,0,0.002824,0,0.000244,9,212,0.033333,0.025927
4947,1,3278,3,2,5,3,2,5,9,0.200334,0.223396,386.030843,0.001553,0.00107,0.000088,9,61,0.05,0.005224
5740,1,3693,2,0,2,2,0,2,0,0,0,0,0.000377,0,0.00007,9,47,0,0.001948
5550,1,1297,10,2,12,10,2,12,5,0.351852,0.439474,713.540815,0.013014,0.000408,0.000113,1,145,0.015152,0.047413
4,1,3783,0,1,1,0,1,1,9,0.212471,0.228688,0,0,0.000919,0.000056,9,219,0,0
4087,1,866,52,26,78,52,26,78,8,0.269469,0.307867,25765.42625,0.027019,0.015983,0.000781,9,219,0.007659,0.083299
5,1,4327,0,4,4,0,4,4,10,0.244568,0.271175,0,0,0.008249,0.000056,3,208,0.083333,0
2481,1,2664,60,126,186,60,126,186,9,0.297009,0.346389,137577.7847,0.022697,0.054963,0.000663,4,89,0.017931,0.069825
5269,1,120,135,12,147,135,12,147,4,0.553191,0.689103,33081.15152,0.07703,0.007378,0.005236,7,5,0.011788,0.52542
1,1,4326,1,25,26,1,25,26,9,0.281666,0.304513,2535.402972,0.000281,0.012509,0.000067,3,208,0.013846,0.000757
6,1,4394,0,10,10,0,10,10,9,0.255255,0.27073,0,0,0.002203,0.000056,14,140,0,0
6072,1,4393,1,9,10,1,9,10,6,0.323508,0.351551,2295.642237,0.000075,0.01028,0.00006,3,131,0.033333,0.000757
3996,1,1843,19,10,29,19,10,29,7,0.285955,0.322465,4661.807385,0.004466,0.004187,0.000266,14,201,0.065271,0.025339
448,1,4392,3,33,36,3,33,36,8,0.286599,0.307757,4930.828676,0.000997,0.008332,0.000067,1,57,0.015873,0.002271
1673,1,1023,33,15,48,33,15,48,7,0.315833,0.372101,27378.2412,0.027992,0.020872,0.000537,14,238,0.01773,0.103951
3079,1,1395,6,0,6,6,0,6,0,0,0,0,0.001475,0,0.00013,14,140,0.033333,0.007036
436,1,4330,1,2,3,1,2,3,7,0.220994,0.25253,5.896429,0.000075,0.000008,0.00006,14,48,0,0.000757
2126,1,3262,4,8,12,4,8,12,9,0.24275,0.262414,3816.887963,0.015101,0.002372,0.000087,14,201,0.037879,0.022032
743,1,4328,1,3,4,1,3,4,7,0.266667,0.327282,6.866667,0.000075,0.001573,0.00006,14,140,0.083333,0.000757
4115,1,2159,10,4,14,10,4,14,7,0.277487,0.316824,701.856248,0.011177,0.005425,0.000106,1,105,0.038462,0.020975
6286,1,1237,10,1,11,10,1,11,1,1,1,1313.135242,0.003344,0.000016,0.000129,1,183,0.072727,0.019506
7,1,4397,0,2,2,0,2,2,10,0.167562,0.175938,0,0,0.000039,0.000056,3,33,0,0
2787,1,2828,3,3,6,3,3,6,9,0.200537,0.214216,5204.740622,0.001147,0.000934,0.000102,3,33,0,0.006536
1339,1,4396,1,1,2,1,1,2,6,0.269231,0.378571,5.5,0.000001,0,0.000079,3,33,0,0.000757
8,1,4398,0,1,1,0,1,1,1,1,1,0,0,0.000252,0.000056,14,55,0,0
6926,1,396,10,0,10,10,0,10,0,0,0,0,0.007418,0,0.000213,14,55,0.077778,0.047434
9,1,4617,0,12,12,0,12,12,9,0.305453,0.335486,0,0,0.016118,0.000056,10,188,0.060606,0
3756,1,1932,12,19,31,12,19,31,9,0.266508,0.298393,12511.6682,0.008115,0.009238,0.000174,3,81,0.021505,0.039861
1773,1,3570,180,540,720,180,540,720,6,0.407119,0.4866,735562.1858,0.083194,0.439225,0.002475,5,8,0.001824,0.166374
5945,1,276,122,18,140,122,18,140,6,0.335329,0.441667,54995.74452,0.066543,0.016668,0.00309,5,142,0.013515,0.421799
5424,1,1929,6,0,6,6,0,6,0,0,0,0,0.00123,0,0.000153,3,81,0.066667,0.010458
474,1,317,8,1,9,8,1,9,3,0.416667,0.466667,256.389222,0.00251,0.000772,0.000266,3,188,0,0.031317
2872,1,3001,23,39,62,23,39,62,7,0.30038,0.335012,25838.35068,0.022963,0.038076,0.000133,10,238,0.076943,0.038703
2439,1,3098,29,52,81,29,52,81,7,0.319924,0.356418,41676.15696,0.029766,0.056113,0.000194,9,245,0.030556,0.038874
6121,1,228,43,4,47,43,4,47,4,0.375,0.505556,3784.339856,0.049348,0.0048,0.000849,10,107,0.080018,0.348213
2352,1,4616,6,131,137,6,131,137,8,0.347266,0.38312,10537.60701,0.004833,0.088122,0.00008,9,106,0.021951,0.004635
6168,1,123,50,4,54,50,4,54,4,0.368421,0.505952,3322.570184,0.036605,0.00409,0.001494,10,173,0.056604,0.217333
3258,1,2933,28,35,63,28,35,63,7,0.300788,0.335503,35357.99197,0.026253,0.02623,0.000238,9,150,0.02509,0.05554
10,1,4618,0,1,1,0,1,1,1,1,1,0,0,0.000084,0.000056,5,217,0,0
6269,1,1774,3,0,3,3,0,3,0,0,0,0,0.002466,0,0.000126,5,217,0,0.015439
11,1,4621,0,4,4,0,4,4,11,0.213872,0.22813,0,0,0.001077,0.000056,4,234,0.166667,0
4291,1,1644,13,8,21,13,8,21,8,0.237959,0.273293,1366.330436,0.009744,0.004243,0.000126,4,88,0.188095,0.023131
6536,1,878,12,2,14,12,2,14,2,0.75,0.833333,1370.820596,0.007231,0.000139,0.000485,4,234,0.06044,0.023812
2054,1,4620,6,17,23,6,17,23,10,0.259513,0.283725,3194.157087,0.006093,0.006638,0.000086,4,84,0.160079,0.005661
2677,1,3228,12,24,36,12,24,36,9,0.245743,0.275157,5790.914933,0.008605,0.009695,0.000109,4,234,0.077778,0.017965
12,1,4623,0,2,2,0,2,2,1,1,1,0,0,0.000618,0.000056,5,8,0,0
5237,1,1120,3,0,3,3,0,3,0,0,0,0,0.018155,0,0.00009,5,8,0.166667,0.033679
2176,1,4622,1,0,1,1,0,1,0,0,0,0,0.000021,0,0.000079,5,8,0,0.000757
13,1,4763,0,12,12,0,12,12,9,0.24622,0.263199,0,0,0.003354,0.000056,1,9,0.045455,0
4198,1,2146,10,12,22,10,12,22,7,0.27027,0.317108,4014.074133,0.002968,0.003554,0.000166,10,108,0.036797,0.00925
3322,1,2332,14,18,32,14,18,32,8,0.261969,0.292364,11648.49223,0.009411,0.009726,0.000119,1,158,0.081653,0.030639
6553,1,2872,9,8,17,9,8,17,9,0.278124,0.314943,5803.246632,0.026431,0.016218,0.000102,1,9,0.058824,0.034674
3418,1,817,22,1,23,22,1,23,1,1,1,946.162726,0.004901,0.000219,0.000429,1,229,0.01581,0.045676
1615,1,3925,7,20,27,7,20,27,9,0.279164,0.307953,3504.644179,0.002901,0.012359,0.000076,1,9,0.031339,0.006613
888,1,4626,2,9,11,2,9,11,9,0.229505,0.246394,109.783097,0.001346,0.00185,0.00006,1,42,0.018182,0.001607
1654,1,4762,3,3,6,3,3,6,2,0.714286,0.8,25,0.000273,0.000632,0.000075,3,47,0,0.002458
4945,1,1580,16,7,23,16,7,23,7,0.310371,0.348244,9350.226004,0.023069,0.01489,0.000261,9,9,0.029644,0.05431
5630,1,980,7,2,9,7,2,9,2,0.75,0.833333,4280.0196,0.003567,0.000184,0.000206,2,9,0.027778,0.018399
5032,1,484,13,5,18,13,5,18,6,0.335938,0.381202,4254.410982,0.021933,0.01336,0.000186,1,126,0.058824,0.084901
23,1,4761,1,57,58,1,57,58,8,0.304238,0.329391,3249.449802,0.000114,0.036219,0.00006,1,184,0.059286,0.000757
2339,1,3549,8,11,19,8,11,19,7,0.24057,0.260203,4908.822719,0.001701,0.00393,0.000112,2,9,0.005848,0.008019
6726,1,4764,0,1,1,0,1,1,7,0.305104,0.33919,0,0,0.012207,0.000056,9,10,0,0
4949,1,836,465,226,691,465,226,691,6,0.43852,0.559119,859191.9642,0.358902,0.139963,0.007983,9,10,0.003192,1
14,1,4766,0,10,10,0,10,10,7,0.288807,0.307629,0,0,0.004964,0.000056,4,51,0.055556,0
615,1,4278,2,9,11,2,9,11,7,0.30221,0.327677,1535.270143,0.00486,0.007237,0.000061,3,51,0.036364,0.002855
2779,1,2831,35,50,85,35,50,85,10,0.270477,0.30963,45211.39876,0.02538,0.031135,0.000439,4,97,0.013165,0.044917
1089,1,4080,9,45,54,9,45,54,6,0.368436,0.401334,22706.48116,0.01366,0.06742,0.0001,9,197,0.045073,0.00934
3846,1,3143,9,6,15,9,6,15,8,0.216828,0.242413,1658.910025,0.006256,0.000933,0.000095,4,228,0.009524,0.009959
3815,1,1631,25,23,48,25,23,48,9,0.265323,0.301799,15277.31197,0.015252,0.011983,0.000247,4,116,0.058067,0.05313
4302,1,4765,1,1,2,1,1,2,6,0.25,0.310833,1.037518,0.000169,0.001105,0.00006,4,51,0,0.000757
3706,1,1694,98,101,199,98,101,199,6,0.324396,0.374198,207394.032,0.032816,0.05375,0.001603,4,7,0.003046,0.145146
5470,1,3702,5,1,6,5,1,6,3,0.5,0.611111,20.434151,0.00932,0.000421,0.000075,9,45,0.033333,0.009597
4486,1,1219,15,6,21,15,6,21,10,0.201408,0.23406,12929.79564,0.015536,0.003831,0.000211,4,186,0.119048,0.055331
2811,1,4770,0,10,10,0,10,10,10,0.241736,0.261992,0,0,0.003755,0.000056,14,12,0.044444,0
3826,1,2184,5,3,8,5,3,8,8,0.243016,0.261385,1548.300547,0.003249,0.000937,0.000125,1,33,0.053571,0.004971
1536,1,4489,8,5,13,8,5,13,9,0.222569,0.236706,11807.88727,0.004903,0.000368,0.000176,14,12,0.019231,0.006263
1044,1,4460,6,30,36,6,30,36,9,0.287765,0.313962,6191.740758,0.002298,0.016121,0.000095,9,150,0.027778,0.005425
1960,1,3897,5,2,7,5,2,7,9,0.196836,0.207132,380.19822,0.001563,0.000457,0.000102,14,12,0.071429,0.006525
4639,1,1048,75,40,115,75,40,115,7,0.354412,0.403274,125095.7764,0.032365,0.04229,0.00121,6,93,0.011518,0.165593
5453,1,1630,9,2,11,9,2,11,6,0.273273,0.319963,1370.761375,0.022466,0.001744,0.000131,9,12,0.045455,0.043347
4024,1,3173,4,1,5,4,1,5,2,0.6,0.666667,6.333333,0.00053,0.00009,0.000087,1,168,0.05,0.004049
231,1,4769,1,10,11,1,10,11,10,0.234307,0.253488,129.437429,0.000128,0.002406,0.00006,14,12,0.045455,0.000757
2922,1,2625,14,9,23,14,9,23,9,0.23048,0.266517,10781.67277,0.010914,0.007941,0.000227,4,239,0.017787,0.039493
2381,1,3189,18,38,56,18,38,56,7,0.314273,0.346226,26298.6635,0.031977,0.046748,0.000139,9,22,0.055519,0.032908
954,1,4325,1,1,2,1,1,2,8,0.251577,0.268787,297.436104,0.000425,0.000966,0.000058,3,208,0,0.000851
6448,1,905,9,1,10,9,1,10,1,1,1,2339.415494,0.018207,0.000005,0.000206,10,213,0.044444,0.088931
1376,1,4324,3,10,13,3,10,13,7,0.299056,0.321948,782.11741,0.004198,0.007262,0.000061,9,127,0.051282,0.002364
660,1,4323,1,4,5,1,4,5,8,0.290194,0.320017,116.703257,0.000425,0.006169,0.000058,3,200,0,0.000851
2292,1,4322,1,0,1,1,0,1,0,0,0,0,0.000425,0,0.000058,3,208,0,0.000851
3532,1,4321,5,8,13,5,8,13,8,0.27138,0.294975,1925.25356,0.002317,0.006261,0.000078,10,13,0.032051,0.006858
1883,1,3735,31,120,151,31,120,151,7,0.342247,0.384739,70851.98003,0.01767,0.0849,0.000331,3,117,0.00755,0.033781
5468,1,278,11,2,13,11,2,13,4,0.415385,0.469136,2285.502003,0.018121,0.003764,0.000586,3,117,0.064103,0.074281
6716,1,1030,97,58,155,97,58,155,7,0.377159,0.431869,192040.657,0.100776,0.07489,0.000902,10,138,0.025094,0.303643
1132,1,4320,1,7,8,1,7,8,7,0.302653,0.330677,751.358881,0.000425,0.008676,0.000058,9,9,0.035714,0.000851
4710,1,4318,1,20,21,1,20,21,8,0.299437,0.334466,1324.429859,0.000425,0.033979,0.000058,7,12,0.052381,0.000851
7051,1,97,14,0,14,14,0,14,0,0,0,0,0.005154,0,0.000694,3,15,0.016484,0.048606
3180,1,4137,4,2,6,4,2,6,8,0.209059,0.232837,311.813006,0.000995,0.000496,0.00009,3,243,0,0.003361
3235,1,4136,1,0,1,1,0,1,0,0,0,0,0.000425,0,0.000058,3,208,0,0.000851
6343,1,299,10,1,11,10,1,11,2,0.666667,0.75,226.041198,0.018433,0.000289,0.000195,7,130,0.1,0.078364
5212,1,2510,3,1,4,3,1,4,1,1,1,34.255388,0.00358,0.000059,0.000064,3,210,0,0.00659
887,1,4135,1,4,5,1,4,5,8,0.269881,0.289224,67.160118,0.000425,0.003635,0.000058,5,122,0.1,0.000851
4406,1,1671,117,65,182,117,65,182,7,0.315676,0.372423,92214.37297,0.053678,0.047555,0.001622,3,17,0.003916,0.218929
3241,1,2262,10,2,12,10,2,12,7,0.305798,0.340842,1434.599098,0.042572,0.014191,0.000105,9,208,0.121212,0.082762
4319,1,2582,8,3,11,8,3,11,5,0.304878,0.383333,682.850573,0.021243,0.000232,0.000113,3,81,0.036364,0.030573
259,1,4133,1,13,14,1,13,14,8,0.292408,0.31436,958.945604,0.000425,0.011399,0.000058,9,92,0.076923,0.000851
3807,1,2268,8,4,12,8,4,12,8,0.306387,0.342902,1459.049002,0.01511,0.014319,0.00008,6,160,0.113636,0.023419
1390,1,3788,3,8,11,3,8,11,7,0.30348,0.329029,3896.353349,0.000898,0.021042,0.000084,9,173,0.072727,0.002558
1115,1,3787,2,7,9,2,7,9,7,0.317642,0.34596,4784.52032,0.004722,0.019373,0.000059,3,81,0.083333,0.005225
16,1,4772,0,5,5,0,5,5,9,0.230149,0.242334,0,0,0.001257,0.000056,7,18,0.15,0
2444,1,3749,5,13,18,5,13,18,9,0.24839,0.272948,3967.167553,0.006698,0.006331,0.000087,7,18,0.026144,0.009494
5892,1,362,8,0,8,8,0,8,0,0,0,0,0.004828,0,0.000192,10,18,0,0.02417
6315,1,2855,19,24,43,19,24,43,9,0.283516,0.310049,22550.721,0.013206,0.015925,0.000193,7,59,0.032115,0.037849
6079,1,2517,10,1,11,10,1,11,3,0.428571,0.5,200.59412,0.012179,0.00024,0.000131,7,18,0.063636,0.037572
1752,1,4771,1,4,5,1,4,5,10,0.200775,0.214045,11.146898,0.000043,0.000755,0.000065,7,18,0.25,0.000757
104,1,4773,0,4,4,0,4,4,8,0.271609,0.293761,0,0,0.005412,0.000056,3,70,0.083333,0
581,1,4311,14,238,252,14,238,252,7,0.351202,0.397648,33260.59197,0.005853,0.137917,0.000132,3,19,0.002609,0.011077
7069,1,105,71,2,73,71,2,73,1,1,1,2887.927929,0.033048,0.001216,0.00347,3,70,0.015982,0.245216
6136,1,2486,153,225,378,153,225,378,8,0.352522,0.419068,358348.5525,0.066524,0.141121,0.001822,3,124,0.001944,0.170086
18,1,4774,0,2,2,0,2,2,9,0.264201,0.287984,0,0,0.002634,0.000056,3,217,0,0
4140,1,1504,48,43,91,48,43,91,11,0.219428,0.305203,39074.43971,0.010916,0.021469,0.00098,4,217,0.005739,0.069197
19,1,4777,0,9,9,0,9,9,8,0.240436,0.256815,0,0,0.000635,0.000056,5,236,0.138889,0
485,1,3678,9,88,97,9,88,97,7,0.298079,0.331087,20188.74008,0.006224,0.040254,0.00016,4,38,0.028887,0.00803
365,1,4776,1,6,7,1,6,7,11,0.220762,0.235505,12.690909,0.000022,0.000831,0.000061,5,236,0.285714,0.000757
3731,1,4591,13,30,43,13,30,43,10,0.280494,0.309346,17826.24646,0.00218,0.01268,0.000167,5,236,0.009967,0.011459
4967,1,4775,2,2,4,2,2,4,6,0.283951,0.338768,58.585838,0.000022,0.00069,0.000109,5,87,0,0.001613
6682,1,2037,7,3,10,7,3,10,7,0.226982,0.248341,2712.549993,0.000746,0.002556,0.00026,5,236,0.044444,0.009989
2819,1,3967,8,6,14,8,6,14,10,0.186283,0.213711,537.261766,0.00296,0.000641,0.00009,5,236,0.082418,0.009385
5146,1,680,19,7,26,19,7,26,8,0.239179,0.271509,18526.5927,0.005651,0.005269,0.00042,5,244,0.018462,0.037357
5358,1,3223,7,1,8,7,1,8,1,1,1,498,0.000662,0.000001,0.000133,5,236,0.25,0.008488
3325,1,3225,5,4,9,5,4,9,9,0.215134,0.24261,2476.957858,0.000215,0.000629,0.00011,5,236,0.152778,0.006664
20,1,4782,0,7,7,0,7,7,9,0.222995,0.237533,0,0,0.003316,0.000056,4,102,0.047619,0
559,1,4781,2,13,15,2,13,15,8,0.243476,0.261421,959.318,0.00505,0.002979,0.000063,4,59,0.038095,0.001795
4482,1,1221,37,13,50,37,13,50,11,0.187443,0.231329,27528.15054,0.021235,0.006155,0.000363,4,186,0.077959,0.105352
2156,1,4778,2,4,6,2,4,6,10,0.248168,0.272307,2581.772638,0.000229,0.004865,0.000068,4,102,0.033333,0.001514
7054,1,81,28,0,28,28,0,28,0,0,0,0,0.014065,0,0.000781,4,112,0.130952,0.089061
2580,1,2578,14,18,32,14,18,32,9,0.271322,0.296151,37405.48524,0.008258,0.009793,0.000162,4,228,0.039315,0.02831
6299,1,132,23,1,24,23,1,24,2,0.666667,0.75,3886.803877,0.021079,0.000096,0.000554,4,50,0.086957,0.127236
3704,1,2838,5,1,6,5,1,6,8,0.196953,0.212066,445.279564,0.027562,0.000539,0.000075,4,102,0.066667,0.044117
21,1,4790,0,7,7,0,7,7,9,0.266718,0.283502,0,0,0.001625,0.000056,7,220,0.071429,0
745,1,4789,2,22,24,2,22,24,8,0.279612,0.30032,1687.265135,0.000129,0.013856,0.000074,9,173,0.003623,0.001514
1414,1,4075,18,95,113,18,95,113,7,0.344418,0.381895,46074.00162,0.01113,0.072023,0.000266,7,21,0.016514,0.016404
710,1,4788,3,48,51,3,48,51,7,0.3028,0.331128,3623.475001,0.000305,0.02592,0.000077,7,144,0.080392,0.002271
4960,1,725,3,1,4,3,1,4,6,0.300532,0.336947,1073.436526,0.004879,0.007372,0.000113,2,220,0,0.078562
4700,1,1319,48,25,73,48,25,73,6,0.318914,0.374113,24606.88266,0.026557,0.016691,0.000459,7,74,0.042428,0.144683
6554,1,918,6,0,6,6,0,6,0,0,0,0,0.001194,0,0.000418,14,220,0,0.011988
1158,1,4427,7,36,43,7,36,43,8,0.284534,0.30911,12123.8928,0.003582,0.027523,0.000132,10,198,0.017165,0.006276
22,1,4791,0,2,2,0,2,2,7,0.289557,0.313161,0,0,0.002856,0.000056,9,43,0,0
4543,1,1185,6,1,7,6,1,7,7,0.2,0.243973,2062.056667,0.000786,0.000038,0.000208,9,43,0.071429,0.008401
700,1,4760,3,26,29,3,26,29,7,0.296299,0.318214,4425.283109,0.003048,0.021382,0.00006,1,155,0.057882,0.002992
1016,1,4751,2,3,5,2,3,5,10,0.240701,0.272459,146.692154,0.002388,0.013143,0.000059,1,202,0.15,0.001999
5052,1,4264,5,1,6,5,1,6,7,0.239362,0.266857,37.356355,0.003407,0.001031,0.000076,1,66,0.033333,0.004667
211,1,4708,3,62,65,3,62,65,9,0.29573,0.327284,2725.231112,0.002243,0.049024,0.000062,1,196,0.067548,0.002558
5556,1,713,22,5,27,22,5,27,4,0.369565,0.429739,2770.359063,0.027634,0.002005,0.000283,9,51,0.029915,0.067424
737,1,4750,6,32,38,6,32,38,8,0.257879,0.282062,6416.015157,0.004428,0.018745,0.000069,1,105,0.082504,0.005468
4230,1,1409,29,28,57,29,28,57,8,0.33457,0.378558,39509.4924,0.021921,0.037936,0.000229,1,77,0.049185,0.063558
3845,1,1410,12,8,20,12,8,20,9,0.28956,0.313439,5592.119421,0.009616,0.011378,0.000094,1,155,0.113158,0.028613
5554,1,64,31,8,39,31,8,39,4,0.439024,0.506173,8906.9334,0.028703,0.008305,0.000455,1,30,0.074899,0.21873
3847,1,1713,14,23,37,14,23,37,6,0.317382,0.348672,44806.1049,0.039492,0.02675,0.000137,9,123,0.061562,0.084104
5973,1,60,28,3,31,28,3,31,6,0.335766,0.406522,620.500618,0.020756,0.005444,0.000448,1,105,0.119355,0.132545
3108,1,4654,5,14,19,5,14,19,7,0.289329,0.318124,734.39194,0.003684,0.011962,0.000068,1,212,0.046784,0.005778
2428,1,3530,8,3,11,8,3,11,7,0.29425,0.316009,2641.24827,0.002779,0.007046,0.00009,1,199,0.063636,0.007653
2218,1,3633,14,21,35,14,21,35,8,0.284898,0.318734,15323.67592,0.013146,0.023227,0.000118,1,105,0.061345,0.019221
1567,1,3873,4,14,18,4,14,18,7,0.305391,0.329452,5313.173612,0.00539,0.015466,0.000061,10,199,0.137255,0.005874
219,1,4735,2,28,30,2,28,30,9,0.262376,0.289539,1476.623011,0.001644,0.01384,0.000059,1,51,0.02069,0.001718
5069,1,1015,32,17,49,32,17,49,6,0.338197,0.384687,14416.66166,0.024603,0.018209,0.000339,1,121,0.042942,0.09278
2275,1,3014,8,30,38,8,30,38,7,0.315613,0.346963,31992.63582,0.007523,0.025257,0.000084,1,30,0.076814,0.014203
2557,1,3856,3,20,23,3,20,23,9,0.248986,0.282106,1013.158727,0.003789,0.014066,0.00006,1,198,0.081028,0.005365
912,1,4710,1,6,7,1,6,7,9,0.232932,0.249996,53.528153,0.001232,0.00386,0.000056,1,30,0.190476,0.000851
506,1,4674,2,20,22,2,20,22,7,0.29703,0.317118,1053.772984,0.003931,0.011148,0.000057,10,112,0.062771,0.002205
6213,1,4440,4,4,8,4,4,8,7,0.266755,0.304863,106.93048,0.001964,0.00777,0.000067,10,183,0.035714,0.003348
